date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:41:06	1047/1047	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20Dec%202020%2019:41:07%20GMT	https://www.autel.com/robots.txt		(from )
21:41:07	41933/41933	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Dec%202020%2019:41:08%20GMT	https://www.autel.com/	/tmp/autelsite/www.autel.com/index.html	(from )
21:41:08	44582/44582	---MCZ	200	added ('OK')	text/css	date:Thu,%2026%20Nov%202020%2009:16:47%20GMT	https://www.autel.com/r/cms/www/default/autel/css/index.css	/tmp/autelsite/www.autel.com/r/cms/www/default/autel/css/index.css	(from https://www.autel.com/)
21:41:09	16606/16606	---MCZ	200	added ('OK')	text/css	date:Wed,%2009%20Oct%202019%2011:51:00%20GMT	https://www.autel.com/r/cms/www/default/autel/css/swiper.css	/tmp/autelsite/www.autel.com/r/cms/www/default/autel/css/swiper.css	(from https://www.autel.com/)
21:41:10	88145/88145	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2020%20Sep%202019%2006:59:30%20GMT	https://www.autel.com/r/cms/www/default/autel/js/jquery_min.js	/tmp/autelsite/www.autel.com/r/cms/www/default/autel/js/jquery_min.js	(from https://www.autel.com/)
21:41:11	294494/294494	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2021%20Sep%202019%2004:03:55%20GMT	https://www.autel.com/r/cms/www/default/autel/js/swiper.js	/tmp/autelsite/www.autel.com/r/cms/www/default/autel/js/swiper.js	(from https://www.autel.com/)
21:41:12	21055/21055	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2020%20Jul%202020%2009:50:44%20GMT	https://www.autel.com/r/cms/www/default/autel/js/index.js	/tmp/autelsite/www.autel.com/r/cms/www/default/autel/js/index.js	(from https://www.autel.com/)
21:41:12	1455/1455	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Oct%202019%2003:08:52%20GMT	https://www.autel.com/r/cms/www/default/atImg/favicon.png	/tmp/autelsite/www.autel.com/r/cms/www/default/atImg/favicon.png	(from https://www.autel.com/)
21:41:14	68307/68307	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2001%20Nov%202019%2004:11:07%20GMT	https://www.autel.com/r/cms/www/default/autel/js/video.js	/tmp/autelsite/www.autel.com/r/cms/www/default/autel/js/video.js	(from https://www.autel.com/)
21:41:15	14754/14754	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Oct%202019%2004:06:23%20GMT	https://www.autel.com/r/cms/www/default/autel/css/video-js.css	/tmp/autelsite/www.autel.com/r/cms/www/default/autel/css/video-js.css	(from https://www.autel.com/)
21:41:15	1329/1329	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2010:56:26%20GMT	https://www.autel.com/r/cms/www/default/atImg/header_logo.png	/tmp/autelsite/www.autel.com/r/cms/www/default/atImg/header_logo.png	(from https://www.autel.com/)
21:41:16	1994/1994	---M--	200	added ('OK')	image/png	date:Fri,%2025%20Oct%202019%2012:19:52%20GMT	https://www.autel.com/r/cms/www/default/atImg/header_logo-751.png	/tmp/autelsite/www.autel.com/r/cms/www/default/atImg/header_logo-751.png	(from https://www.autel.com/)
21:41:18	65151/65151	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Dec%202020%2019:41:18%20GMT	https://www.autel.com/c/www/wheretobuy.jhtml	/tmp/autelsite/www.autel.com/c/www/wheretobuy.html	(from https://www.autel.com/)
